enz_id	MW (g/mmol)
BDH	43.338
gbsB_1798	96.852
gbsB_1827	42.48978
kduD	27.91363
panB	311.3931
lctE	140.51548
ldh	141.47164
fabZ	16.05071
UNKNOWN	0.0
fabG_1283	105.24428
fabG_2272	27.61418
fabF	44.34808
fabHA_1281	72.60788
fabHA_2100	38.85913
fabHA_2102	39.21333
pksJL	308.53776
aspB	43.29603
yhdR	45.13517
SPONT	0.0
ADU73935	56.17094
thrS	65.08083
guaB	55.59211
guaA	116.10346
pepD	53.90286
glcK	34.18678
xylR	43.89803
ilvBH_0099	78.26156
ilvBH_0305	80.02848
cobU	21.05911
mmdA	56.53572
argB	33.33264
ADU73322	26.22781
argJ	86.10492
ackA	88.68896
spsE_0230	37.3936
spsE_2902	39.50152
leuC	69.37969
argD	88.45096
Spf	24.66184
ytcI	63.58137
ylmD	32.08268
yugH	44.3464
cobD	39.73079
nupOPQ	131.6265
adk	24.6067
speD	55.14228
fepCCDyvrC	103.5375799999998
cobS	26.84683
grsT	209.46408
lcfA	55.5804
lcfB	62.16659
ldeI	95.97255
nudF	20.45819
apt	38.46004
hptA	20.86463
dtd	33.72022
tufA	68.08549
purB	54.8796
nagA	42.77746
speB	32.39529
argC	77.72364
pucG	42.33855
SAHH	46.13839
folE	209.8049
bglX	49.06774
mccB_2335	49.05129
mccB_2534	46.93045
cysK	33.64188
mccA	33.09504
mccB	46.93045
purH	56.82832
purE	18.57443
ddl	42.25022
pyrAB	34.12494
alrB	44.04257
ylmE	26.63833
azlCD	37.528349999999996
alaS	98.88747
cotJA	9.65216
aldX	54.32693
ltaSC_2059	73.60911
ltaSC_2170	73.72387
bioA	104.6796
cwlD	26.94056
cwlJ	16.71378
lysM	38.05778
sleB_0046	26.55003
sleB_2624	25.88526
SLH	27.9232
ykvT	31.96808
yqiI_1176	31.01621
yqiI_1198	38.56914
yqiI_2048	105.32294
trpD	74.34552
pabA	22.26567
bioF	86.56712
coaX	56.47108
speE_2	63.25772
speE_4	126.51544
coaD	108.65268
ribD	39.96888
artPhisMglnQ	89.56655
speA	53.75546
argH	52.53189
argG	183.98736
argS	64.56726
pheA	31.43752
asd	74.07914
dapA	128.97216
tycBC	87.73772
ADU74738	70.54163
asnA	39.34352
gatABC_0	119.02438
gatABC_1	117.01425
asnC	107.91606
panD	56.98408
pyrB	34.37749
thrD	50.08361
nadB	60.30223
aspS_0923	136.69882
aspS_2307	134.09556
maf	22.50573
rsgA_1662	33.28805
rsgA_2278	39.51146
hisGZ	287.07748000000004
birA	38.04829
gmuD	52.22372
nagZ	84.61565
xynD	113.62278
capD_0239	68.79151
capD_2905	37.74234
flaA	69.27402
HndACD	150.30067
HndABCD	161.76527000000002
tuaD	49.60432
bioB	72.06036
hydE	40.56328
ECM27	36.39076
cobAcobObtuR	19.83556
carAB_1267	159.92347
carAB_2559	158.24102
pgsA	22.75875
cdsA	31.15377
dgcW	99.88157
spsC	52.52757
spmG	43.70864
ispE	30.40897
MSTS_0	69.93622
MSTS_1	139.92709
MSTS_2	139.67977
MSTS_3	152.74579999999997
ADU75001	93.6255
glgP	98.50814
aroH	13.19104
thrR	16.63391
aroC	174.12416
leuCD	63.85236999999999
leuA_0102	117.02916
leuA_0857	113.87756
arsBnhaD	41.74221
clsC	60.33064
ispD	26.64912
cbiOQM	96.81923
ecfAcbiQM	100.41219000000001
AXE1	36.32632
ADU74870	50.08019
ADU75118	71.08644
albA_0948	40.57401
albA_1312	52.36325
albA_1997	50.1901
hemN	39.03738
hemN_1	44.11827
hemN_2	88.23654
hemZ_0912	58.1829
hemZ_0735	67.90808
miaB	52.19699
moaA_0626	49.64303
moaA_2334	31.83407
moaA_0137	39.42697
moaA_0138	39.79852
moaA_0139	39.79329
moaA_0142	39.24838
pflA	32.93238
queE	48.50674
skfB	58.11912
ygiQ	74.44146
citA	52.45925
leuA_0708	105.41232
pyrG	246.18904
iscSB	43.40015
iscSU	120.22724
cysS	54.44778
cdd_1145	14.11875
cdd_2348	15.20318
cmk	25.4608
lysA	97.34214
dapF	62.75924
ribBA	46.23122
bioD	54.3357
comEB	17.10685
dcd	60.2334
gmk	23.43531
ilvD	118.79198
ddh	74.2132
dapB_1090	130.2822
dapB_1253	112.10732
dfrA	19.47907
folC	48.30174
menA	36.63241
folB	15.03984
pyrDK	123.76563999999999
folP	43.77976
aroB	40.40184
pyrC	46.90403
ribH	16.57504
ispA	33.10659
rpfA	78.08265
ykcC_0645	37.96159
ykcC_0648	36.46196
ykcC_0650	26.41005
coaE	22.052
aroX_1340	37.18688
aroX_2468	37.12446
yqhS	189.32412
deoC_2349	24.59986
deoC_2615	23.57969
fruK	34.0497
Tmk	26.74089
deoD	153.768
pupG_1056	92.09136
dutA	74.74764
dxs	139.05378
dxr	42.24846
fabI	27.27367
hycEechDhycGNADHdhnuoL	188.96147000000002
ldeF	27.86637
pnbA	35.47133
eno	47.50304
SBP_cellx	50.39298
pfkA_0997	65.08717
pfkA_1876	30.72344
ADU74092	13.6693
mazG_0245	61.44688
mazG_0083	27.3386
yhdG	44.34808
atpABCDEFGH	31.25787
fbaA_0238	33.91327
fbaA_1875	33.91327
araD	0.0
pyrK	103.5375799999998
purN	30.96763
ribC	0.0
fbaA	0.0
folN	120.32920000000001
fhs	139.92709
ADU73720_73721	0.0
glmU	102.33108
spmH	60.32416
hemL	46.33639
gpsA	36.8539
proA	48.40485
galU	32.76629
gapA	36.45384
glmS	67.60549
dgcK_1339	58.66257
dgcK_2103	61.23426
dgcKW	61.82093
dgcP_2091	47.74146
dgcP_2852	35.36274
walR	91.59986
glyA	23.43531
glgA_0974	225.455
glgA_1947	224.7332
glgC_0717	192.38388
glgCD	182.44978
glgD	172.51568
glnA_1357	79.4003
glnA_2031	50.23638
glnA_2038	79.20217
glnA_2303	78.05789
glnA	79.4003
gltX	67.00446
proJ	30.10205
rocG	48.97118
gltB	203.84808
hisHF	50.72937
murTgatD	80.78653
purF	54.32351
rcmE	30.05411
hemA	76.669
glxK	40.89957
cspD	7.35508
trpAB	143.72272
yvcT	35.97852
glpK	54.8043
ADU74012	109.02772
ytcB	39.92186
gppA	57.62955
spoT	83.73881
guaN	17.74786
HydAB	128.79525
hcp	59.95458
hgdB	37.76921
ADU74731	18.19869
hepT	36.16845
pfkB	35.27058
ADU73661	45.5819
hisD	47.81799
hisK	30.92138
hisS	94.47136
ispG	38.73652
hemC	32.50405
OADb	96.852
pycA	52.80915
hom_0872	45.50635
hom_1938	47.49176
metAA	36.1487
ADU74034	45.55608
pgm	57.84053
hisC	82.2843
pdxA	73.7499
hprT	20.86463
ADU74991	46.15979
hisB	21.6804
trpC	30.13563
ilvK	40.07008
ileS	107.68484
miaA	36.80092
leuB	78.84716
trkA	59.58176
ilvC	36.52716
dapL	93.33178
leuS	95.68082
ldcC_2592	53.75546
ldcC_2766	52.84105
lysK	62.19609
GCD1_0666	38.64282
GCD1_1134	92.0967
glgC_2633	91.5169
ADU73464	39.54912
fabD	33.67356
ispF	16.8542
pelB	59.95146
maeB	42.4957
metK	175.02808
metNPQ	88.9968199999999
ADU73462	24.53892
ADU74648	65.10542
ADU74649	45.75115
metH_1581	88.09265
metH_1582	24.15859
metS	151.5347
mgtE	50.64848
yfjQ	36.8741
mgsA	14.73783
mmdABC_0	109.83650999999989
mmdABC_1	102.48935999999999
mmdABC_2	102.15288999999999
mmdABC_3	106.10993999999991
mmdABC_4	98.76279000000001
mmdABC_5	98.42632
mntP	21.62532
gmuF	41.02229
samT	88.09265
pupG_1606	181.7346
folD	62.1058
mtnA	38.17312
MntA	38.17312
ecfABT	62.06522
ADU73455	39.7332
nadE	73.09449
pncB	55.72187
sndC	42.98529
ndk	63.22776
amtBglnK	73.03245
prkC	79.13186
nadD	23.87509
ADU74028	96.852
nadC	30.57283
ADU75353	55.08285
ADU75354	49.83847
ADU76000	23.90297
ffh	30.72344
rdgB	30.72344
ADU75780	47.27611
ywfO	38.62925
ADU73753	131.80787
PFOR_0	111.48725000000002
PFOR_1	108.94024
PFL1	170.24576
argF	34.51566
serC	41.73729
pyrF	35.46894
ADU74416_74417_POR_glnA	93.61520999999999
proC	29.73045
pksJ	50.11314
panC	63.84858
yitB	28.44695
PNPOx	16.9961199999999
pckG	68.20078
glmM	49.18632
pgi	50.70871
pgk	43.13307
serA	43.23118
ADU75729	33.41173
pgcA	65.56071
hisC_0424	82.2843
hisC_1619	81.4818
pheST	255.74196
yqeW	64.5942899999999
pitB	37.80028
nrnA	100.07995
pcnB	50.88573
yqeG	19.42233
yisY	28.84017
hppA	146.82608
hemB	292.63464
coaBC	47.08527
ppdk	99.57617
deoB	42.94253
tyrA	40.25534
purD	46.52745
yqjM	71.56905
trpF	24.41769
purM	37.00624
thiL	35.03084
hisIE	25.78607
purC	33.44062
ADU75652	14.72572
purL	140.50862
purS	14.84488
hisA	25.81562
proS	129.49644
prs	210.47316
aroA_0636	46.3123
aroA_2470	45.93957
atoCspoIIE	44.24303
phoE_1517	24.02712
rsbU_2825	43.63137
rsbU_2148	65.12763
eutD	38.98438
queD	14.99982
potABCDF	100.85561
pdp	94.10072
aroE	67.20842
nadA	nan
alkA	nan
thiC	48.70113
thiF	23.74184
nifS_1150	86.8003
nifS_1503	87.54474
thiI	44.7836899999999
ydaC	32.9362
hydG	53.24316
thiH	43.19875
thiG	110.41492
thiE	40.77919
ridA	13.77561
ADU74641	80.72307
lgt	36.45523
ribE	72.31359
nasD	45.40887
rbsABC_0	130.5156
rbsABC_1	126.79079
nrdE	89.0665
rnfABCDEG	175.88585
rpe	24.29986
rpiB	16.25827
rbsD	15.67765
thiGH	153.61366999999998
thiGS	117.84015
moeB	29.91323
phoE_0080	23.67913
phoE_0704	22.9639
phoE_1271	27.83993
yrrM	48.4539
groES	38.36549
gutB	38.06946
cysE	27.62928
tryAB_0836	143.72272
tryAB_1036	157.94976
serS	97.77454
sirC	17.72307
aroK_0068	19.02483
aroK_1492	19.52225
SbpcysTWmsmX	143.80275
tauABC	109.49312
spsL_0146	42.27756
spsL_0887	42.63586
spsJ_1127	37.3641
spsJ_2893	35.34159
dpsA	32.24282
tktA_dxs_1	130.86782
tktA_dxs_2	131.15256
ADU73463	41.7161
TPK	23.9721
thyA	64.37022
tpiA	54.72366
trxB_2617	32.74267
trxB_2618	94.90244
trpS	39.19061
tyrS	94.04708
murE	54.26017
murB	33.66234
mnaA_0188	43.78859
mnaA_0229	44.03276
galE	36.72802
spmG_0144	34.88505
spmG_0234	37.23058
spsJ	35.34159
murA	45.60706
murAA	13.62388
murAB	44.81331
murG	41.11356
murD	52.19797
murC	52.36909
mraY	36.56751
uppS	58.6209
ugtP	48.2882
ytcB_0892	39.92186
ytcB_1999	38.97475
murF	50.32316
pyrH	25.8587
nasF	54.41673
uppP	30.68236
pyrR_2	41.1596
pyrR_6	123.47879999999999
upp	23.28422
ureABC	262.06119
urtABCDE	176.32278000000002
valS	103.56172
vatpABCDEFGHIK	1048.0410399999996
porABCD	93.61520999999999
VorABCD	93.61520999999999
znuABC	89.8062499999999
PFKeco	35.13567
