enz_id	MW (g/mmol)
BDH	43.338
gbsB_1798	96.852
gbsB_1827	42.48978
kduD	27.91363
panB	311.3931
lctE	140.51548
ldh	141.47164
fabZ	16.05071
UNKNOWN	0.0
fabG_1283	105.24428
fabG_2272	27.61418
fabF	44.34808
fabHA_1281	72.60788
fabHA_2100	38.85913
fabHA_2102	39.21333
pksJL	308.53776
aspB	43.29603
yhdR	45.13517
SPONT	0.0
ADU73935	56.17094
thrS	65.08083
guaB	55.59211
guaA	116.10346
pepD	53.90286
glcK	34.18678
xylR	43.89803
ilvBH_0099	78.26156
ilvBH_0305	80.02848
cobU	21.05911
mmdA	56.53572
argB	33.33264
ADU73322	26.22781
argJ	86.10492
ackA	88.68896
spsE_0230	37.3936
spsE_2902	39.50152
leuC	69.37969
argD	88.45096
Spf	24.66184
ytcI	63.58137
ylmD	32.08268
yugH	44.3464
cobD	39.73079
nupOPQ	131.6265
adk	24.6067
speD	55.14228
fepCCDyvrC	103.5375799999998
cobS	26.84683
grsT	209.46408
lcfA	55.5804
lcfB	62.16659
ldeI	95.97255
nudF	20.45819
apt	38.46004
hptA	20.86463
dtd	33.72022
tufA	68.08549
purB	54.8796
nagA	42.77746
speB	32.39529
argC	77.72364
pucG	42.33855
SAHH	46.13839
folE	209.8049
bglX	49.06774
mccB_2335	49.05129
mccB_2534	46.93045
cysK	33.64188
mccA	33.09504
mccB	46.93045
purH	56.82832
purE	18.57443
ddl	42.25022
pyrAB	34.12494
alrB	44.04257
ylmE	26.63833
azlCD	37.528349999999996
alaS	98.88747
cotJA	9.65216
aldX	54.32693
ltaSC_2059	73.60911
ltaSC_2170	73.72387
bioA	104.6796
cwlD	26.94056
cwlJ	16.71378
lysM	38.05778
sleB_0046	26.55003
sleB_2624	25.88526
SLH	27.9232
ykvT	31.96808
yqiI_1176	31.01621
yqiI_1198	38.56914
yqiI_2048	105.32294
trpD	74.34552
pabA	22.26567
bioF	86.56712
coaX	56.47108
speE_2	63.25772
speE_4	126.51544
coaD	108.65268
ribD	39.96888
artPhisMglnQ	89.56655
speA	53.75546
argH	52.53189
argG	183.98736
argS	64.56726
pheA	31.43752
asd	74.07914
dapA	128.97216
tycBC	87.73772
ADU74738	70.54163
asnA	39.34352
gatABC_0	119.02438
gatABC_1	117.01425
asnC	107.91606
panD	56.98408
pyrB	34.37749
thrD	50.08361
nadB	60.30223
aspS_0923	136.69882
aspS_2307	134.09556
maf	22.50573
rsgA_1662	33.28805
rsgA_2278	39.51146
hisGZ	287.07748000000004
birA	38.04829
gmuD	52.22372
nagZ	84.61565
xynD	113.62278
capD_0239	68.79151
capD_2905	37.74234
flaA	69.27402
HndACD	150.30067
HndABCD	161.76527000000002
tuaD	49.60432
bioB	72.06036
hydE	40.56328
ECM27	36.39076
cobAcobObtuR	19.83556
carAB_1267	159.92347
carAB_2559	158.24102
pgsA	22.75875
cdsA	31.15377
dgcW	99.88157
spsC	52.52757
spmG	43.70864
ispE	30.40897
MSTS_0	69.93622
MSTS_1	139.92709
MSTS_2	139.67977
MSTS_3	152.74579999999997
ADU75001	93.6255
glgP	98.50814
aroH	13.19104
thrR	16.63391
aroC	174.12416
leuCD	63.85236999999999
leuA_0102	117.02916
leuA_0857	113.87756
arsBnhaD	41.74221
clsC	60.33064
ispD	26.64912
cbiOQM	96.81923
ecfAcbiQM	100.41219000000001
AXE1	36.32632
ADU74870	50.08019
ADU75118	71.08644
albA_0948	40.57401
albA_1312	52.36325
albA_1997	50.1901
hemN	39.03738
hemN_1	44.11827
hemN_2	88.23654
hemZ_0912	58.1829
hemZ_0735	67.90808
miaB	52.19699
moaA_0626	49.64303
moaA_2334	31.83407
moaA_0137	39.42697
moaA_0138	39.79852
moaA_0139	39.79329
moaA_0142	39.24838
pflA	32.93238
queE	48.50674
skfB	58.11912
ygiQ	74.44146
citA	52.45925
leuA_0708	105.41232
pyrG	246.18904
iscSB	43.40015
iscSU	120.22724
cysS	54.44778
cdd_1145	14.11875
cdd_2348	15.20318
cmk	25.4608
lysA	97.34214
dapF	62.75924
ribBA	46.23122
bioD	54.3357
comEB	17.10685
dcd	60.2334
gmk	23.43531
ilvD	118.79198
ddh	74.2132
dapB_1090	130.2822
dapB_1253	112.10732
dfrA	19.47907
folC	48.30174
menA	36.63241
folB	15.03984
pyrDK	123.76563999999999
folP	43.77976
aroB	40.40184
pyrC	46.90403
ribH	16.57504
ispA	33.10659
rpfA	78.08265
ykcC_0645	37.96159
ykcC_0648	36.46196
ykcC_0650	26.41005
coaE	22.052
aroX_1340	37.18688
aroX_2468	37.12446
yqhS	189.32412
deoC_2349	24.59986
deoC_2615	23.57969
fruK	34.0497
Tmk	26.74089
deoD	153.768
pupG_1056	92.09136
dutA	74.74764
dxs	139.05378
dxr	42.24846
fabI	27.27367
hycEechDhycGNADHdhnuoL	188.96147000000002
ldeF	27.86637
pnbA	35.47133
eno	47.50304
SBP_cellx	50.39298
pfkA_0997	65.08717
pfkA_1876	30.72344
ADU74092	13.6693
mazG_0245	61.44688
mazG_0083	27.3386
yhdG	44.34808
atpABCDEFGH	31.25787
fbaA_0238	33.91327
fbaA_1875	33.91327
araD	0.0
pyrK	103.5375799999998
purN	30.96763
ribC	0.0
fbaA	0.0
folN	120.32920000000001
fhs	139.92709
ADU73720_73721	0.0
glmU	102.33108
spmH	60.32416
hemL	46.33639
gpsA	36.8539
proA	48.40485
galU	32.76629
gapA	36.45384
glmS	67.60549
dgcK_1339	58.66257
dgcK_2103	61.23426
dgcKW	61.82093
dgcP_2091	47.74146
dgcP_2852	35.36274
walR	91.59986
glyA	23.43531
glgA_0974	192.38388
glgA_1947	182.44978
glgC_0717	172.51568
glgCD	89.56655
glgD	89.56655
glnA_1357	79.20217
glnA_2031	78.05789
glnA_2038	79.4003
glnA_2303	50.23638
glnA	79.20217
gltX	89.56655
proJ	89.56655
rocG	70.54163
gltB	50.72937
hisHF	246.18904
murTgatD	70.54163
purF	30.05411
rcmE	73.60911
hemA	54.32693
glxK	91.59986
cspD	143.72272
trpAB	35.97852
yvcT	91.59986
glpK	37.528349999999996
ADU74012	39.92186
ytcB	116.10346
gppA	17.74786
spoT	128.79525
guaN	128.79525
HydAB	0.0
hcp	105.24428
hgdB	0.0
ADU74731	34.18678
hepT	35.27058
pfkB	54.32693
ADU73661	30.92138
hisD	94.47136
hisK	38.73652
hisS	68.79151
ispG	37.74234
hemC	96.852
OADb	52.80915
pycA	68.79151
hom_0872	45.50635
hom_1938	47.49176
metAA	45.55608
ADU74034	0.0
pgm	36.1487
hisC	73.7499
pdxA	20.86463
hprT	0.0
ADU74991	0.0
hisB	37.528349999999996
trpC	37.528349999999996
ilvK	107.68484
ileS	56.82832
miaA	78.84716
leuB	209.46408
trkA	36.52716
ilvC	36.52716
dapL	140.51548
leuS	89.56655
ldcC_2592	62.19609
ldcC_2766	0.0
lysK	0.0
GCD1_0666	91.5169
GCD1_1134	0.0
glgC_2633	0.0
ADU73464	33.67356
fabD	59.95146
ispF	42.4957
pelB	42.4957
maeB	42.4957
metK	24.53892
metNPQ	65.10542
ADU73462	45.75115
ADU74648	88.09265
ADU74649	24.15859
metH_1581	151.5347
metH_1582	0.0
metS	0.0
mgtE	14.73783
yfjQ	27.86637
mgsA	27.86637
mmdABC_0	102.15288999999999
mmdABC_1	106.10993999999991
mmdABC_2	98.76279000000001
mmdABC_3	98.42632
mmdABC_4	63.85236999999999
mmdABC_5	63.85236999999999
mntP	41.02229
gmuF	88.09265
samT	181.7346
pupG_1606	32.08268
folD	62.1058
mtnA	32.08268
MntA	181.7346
ecfABT	39.7332
ADU73455	55.72187
nadE	59.58176
pncB	59.58176
sndC	63.22776
ndk	63.22776
amtBglnK	53.90286
prkC	39.7332
nadD	96.852
ADU74028	55.08285
nadC	49.83847
ADU75353	153.768
ADU75354	153.768
ADU76000	23.90297
ffh	30.72344
rdgB	30.72344
ADU75780	0.0
ywfO	0.0
ADU73753	108.94024
PFOR_0	170.24576
PFOR_1	170.24576
PFL1	34.51566
argF	36.16845
serC	78.84716
pyrF	0.0
ADU74416_74417_POR_glnA	86.10492
proC	55.5804
pksJ	63.58137
panC	0.0
yitB	78.26156
PNPOx	209.46408
pckG	34.0497
glmM	50.70871
pgi	43.13307
pgk	0.0
serA	45.55608
ADU75729	57.84053
pgcA	37.528349999999996
hisC_0424	81.4818
hisC_1619	45.13517
pheST	64.5942899999999
yqeW	37.80028
pitB	92.0967
nrnA	19.42233
pcnB	28.84017
yqeG	28.84017
yisY	0.0
hppA	63.58137
hemB	0.0
coaBC	99.57617
ppdk	0.0
deoB	65.56071
tyrA	46.52745
purD	71.56905
yqjM	0.0
trpF	18.57443
purM	25.78607
thiL	50.72937
hisIE	33.44062
purC	14.72572
ADU75652	14.84488
purL	25.81562
purS	29.73045
hisA	37.528349999999996
proS	41.73729
prs	41.73729
aroA_0636	44.24303
aroA_2470	44.24303
atoCspoIIE	24.02712
phoE_1517	43.63137
rsbU_2825	65.12763
rsbU_2148	38.98438
eutD	38.98438
queD	153.768
potABCDF	153.768
pdp	94.10072
aroE	67.20842
nadA	34.5427399999999
alkA	33.28805
thiC	68.79151
thiF	87.54474
nifS_1150	44.7836899999999
nifS_1503	32.9362
thiI	32.9362
ydaC	0.0
hydG	110.41492
thiH	40.77919
thiG	13.77561
thiE	13.77561
ridA	80.72307
ADU74641	80.72307
lgt	72.31359
ribE	45.40887
nasD	105.24428
rbsABC_0	126.79079
rbsABC_1	62.06522
nrdE	89.0665
rnfABCDEG	39.7332
rpe	16.25827
rpiB	15.67765
rbsD	153.61366999999998
thiGH	117.84015
thiGS	29.91323
moeB	23.67913
phoE_0080	27.83993
phoE_0704	24.02712
phoE_1271	68.08549
yrrM	48.4539
groES	38.06946
gutB	88.45096
cysE	157.94976
tryAB_0836	97.77454
tryAB_1036	97.77454
serS	17.72307
sirC	17.72307
aroK_0068	33.64188
aroK_1492	33.09504
SbpcysTWmsmX	32.60943
tauABC	54.32693
spsL_0146	37.3641
spsL_0887	35.34159
spsJ_1127	33.91327
spsJ_2893	48.30174
dpsA	23.74184
tktA_dxs_1	131.15256
tktA_dxs_2	130.86782
ADU73463	39.54912
TPK	0.0
thyA	55.5804
tpiA	32.74267
trxB_2617	0.0
trxB_2618	100.07995
trpS	131.6265
tyrS	0.0
murE	33.66234
murB	43.78859
mnaA_0188	44.03276
mnaA_0229	34.88505
galE	37.23058
spmG_0144	35.34159
spmG_0234	45.60706
spsJ	13.62388
murA	44.81331
murAA	49.60432
murAB	49.60432
murG	52.19797
murD	33.66234
murC	36.56751
mraY	36.56751
uppS	48.2882
ugtP	0.0
ytcB_0892	38.97475
ytcB_1999	50.32316
murF	25.8587
pyrH	54.41673
nasF	30.68236
uppP	123.47879999999999
pyrR_2	23.28422
pyrR_6	262.06119
upp	176.32278000000002
ureABC	131.6265
urtABCDE	131.6265
valS	93.61520999999999
vatpABCDEFGHIK	93.61520999999999
porABCD	93.61520999999999
VorABCD	20.86463
znuABC	0.0
GAPNchlre	40.61003
